ProductByArea,_2017,_2018,_2019,_2020,_2021,_2022,ViewHistory
Crude Oil,,,,,,,
"WTI - Cushing, Oklahoma",50.80,65.23,56.99,39.16,68.13,94.90,1986-2022
Brent - Europe,54.12,71.34,64.30,41.96,70.86,100.93,1987-2022
Conventional Gasoline,,,,,,,
"New York Harbor, Regular",1.637,1.931,1.750,1.178,2.127,3.076,1986-2022
"U.S. Gulf Coast, Regular",1.602,1.887,1.701,1.124,2.065,2.949,1986-2022
RBOB Regular Gasoline,,,,,,,
Los Angeles,1.731,2.057,1.972,1.285,2.216,3.305,2003-2022
No. 2 Heating Oil,,,,,,,
New York Harbor,1.577,2.064,1.916,1.199,1.914,3.565,1986-2022
Ultra-Low-Sulfur No. 2 Diesel Fuel,,,,,,,
New York Harbor,1.656,2.102,1.940,1.246,2.069,3.720,2006-2022
U.S. Gulf Coast,1.620,2.047,1.884,1.195,2.017,3.509,2006-2022
Los Angeles,1.704,2.137,2.011,1.304,2.104,3.532,2001-2022
Kerosene-Type Jet Fuel,,,,,,,
U.S. Gulf Coast,1.558,2.027,1.879,1.099,1.858,3.374,1990-2022
Propane,,,,,,,
"Mont Belvieu, Texas",0.764,0.878,0.542,0.464,1.046,1.107,1992-2022
