ProductByArea,Jun_23,Jul_23,Aug_23,Sep_23,Oct_23,Nov_23,ViewHistory
Crude Oil,,,,,,,
"WTI - Cushing, Oklahoma",70.25,76.07,81.39,89.43,85.64,77.69,1986-2023
Brent - Europe,74.84,80.11,86.15,93.72,90.60,82.94,1987-2023
Conventional Gasoline,,,,,,,
"New York Harbor, Regular",2.659,2.700,2.874,2.894,2.524,2.306,1986-2023
"U.S. Gulf Coast, Regular",2.427,2.674,2.902,2.824,2.305,2.094,1986-2023
RBOB Regular Gasoline,,,,,,,
Los Angeles,2.802,2.970,3.276,3.780,2.635,2.524,2003-2023
No. 2 Heating Oil,,,,,,,
New York Harbor,2.278,2.498,2.939,3.168,3.002,2.811,1986-2023
Ultra-Low-Sulfur No. 2 Diesel Fuel,,,,,,,
New York Harbor,2.432,2.671,3.117,3.325,3.114,2.905,2006-2023
U.S. Gulf Coast,2.351,2.597,3.050,3.265,3.009,2.662,2006-2023
Los Angeles,2.415,2.817,3.437,3.850,3.286,3.069,1996-2023
Kerosene-Type Jet Fuel,,,,,,,
U.S. Gulf Coast,2.250,2.488,2.989,3.120,2.881,2.734,1990-2023
Propane,,,,,,,
"Mont Belvieu, Texas",0.574,0.629,0.679,0.730,0.675,0.639,1992-2023
