ProductByArea,_3Nov23,_10Nov23,_17Nov23,_24Nov23,_1Dec23,_8Nov23,ViewHistory
Crude Oil,,,,,,,
"WTI - Cushing, Oklahoma",81.99,77.92,76.98,77.02,75.49,70.71,1986-2023
Brent - Europe,88.21,83.52,81.93,81.62,80.91,75.98,1987-2023
Conventional Gasoline,,,,,,,
"New York Harbor, Regular",2.296,2.303,2.307,2.381,2.313,2.242,1986-2023
"U.S. Gulf Coast, Regular",2.128,2.088,2.053,2.093,2.106,1.922,1986-2023
RBOB Regular Gasoline,,,,,,,
Los Angeles,2.484,2.591,2.629,2.410,2.441,2.359,2003-2023
No. 2 Heating Oil,,,,,,,
New York Harbor,2.867,2.746,2.795,2.850,2.800,2.564,1986-2023
Ultra-Low-Sulfur No. 2 Diesel Fuel,,,,,,,
New York Harbor,3.010,2.858,2.878,2.910,2.870,2.666,2006-2023
U.S. Gulf Coast,2.893,2.666,2.600,2.643,2.551,2.299,2006-2023
Los Angeles,3.047,3.030,3.083,3.148,2.958,2.633,1996-2023
Kerosene-Type Jet Fuel,,,,,,,
U.S. Gulf Coast,2.908,2.751,2.759,2.663,2.561,2.330,1990-2023
Propane,,,,,,,
"Mont Belvieu, Texas",0.653,0.629,0.629,0.645,0.664,0.705,1992-2023
